FICE,Cname,State,Indicator,AMSAT,AVSAT,ACSAT,AACT,FQMSAT,TQMSAT,FQVSAT,TQVSAT,FQACT,TQACT,AppsRcvd,AppsAcpt,StdEnrolled,P10,P25,FTUGs,PTUGs,InStateTut,OosTut,RandBcost,RCost,Bcost,AddFee,EstBookCost,EstPspend,PPhD,PTermDig,SFRatio,PDonate,InsEXp,GradRate
8849,Palm Beach Atlantic College,FL,2,496,451,947,21,420,570,390,520,20,25,729,625,349,*,*,1432,334,7900,7900,3400,3400,*,*,500,500,*,74,19.0,*,6014,38
9635,Florida International University,FL,1,543,476,1019,23,490,600,420,520,22,25,3306,2079,1071,42,89,10208,9310,1695,6597,2494,2494,*,80,800,3028,81,96,13.9,20,6722,66
9841,University of North Florida,FL,1,533,484,1017,22,470,590,430,540,20,23,1800,1253,560,44,85,3876,3588,1732,6634,4360,*,*,*,600,2604,82,85,17.8,14,6104,47
1542,Agnes Scott College,GA,2,*,*,*,*,490,610,470,600,*,*,417,349,137,60,89,510,63,12960,12960,5450,5450,*,135,450,875,92,97,7.7,37,19016,59
1544,Albany State College,GA,1,*,*,*,*,*,*,*,*,*,*,1461,1097,580,10,22,2035,321,1772,4535,2754,2754,*,390,675,763,65,67,17.0,*,6238,62
1546,Armstrong State College,GA,1,471,436,907,*,*,*,*,*,*,*,2186,1835,1263,*,*,2796,2391,2028,5604,4192,*,*,*,450,950,45,55,10.5,*,5667,88
1551,Clark Atlanta University,GA,2,404,400,804,19,*,*,*,*,*,*,4502,2497,790,*,*,2844,88,7908,7908,4238,2168,2070,200,600,1500,63,63,14.9,*,9345,53
1552,Augusta College,GA,1,439,398,837,*,350,530,350,450,*,*,1452,1158,870,*,*,2902,1825,1422,4266,*,*,*,210,495,1950,65,68,18.9,10,5513,38
1554,Berry College,GA,2,*,*,*,*,480,600,440,550,22,27,1858,1221,480,37,68,1620,49,8050,8050,3940,1960,1980,*,350,2375,80,80,16.3,17,10511,63
1556,Brenau University,GA,2,459,471,930,*,*,*,*,*,*,*,367,274,158,12,41,917,479,9592,9592,5879,*,*,*,500,700,71,80,13.7,12,5935,49
